date,forward_pe,trailing_pe,pe
2005-04-08,,16.0715,16.39997
2005-04-11,,15.94817,16.27412
2005-04-12,,15.6822,16.00272
2005-04-13,,16.03472,16.36244
2005-04-14,,15.8685,16.19282
2005-04-15,,15.66406,15.9842
2005-04-18,,15.41331,15.72833
2005-04-19,,15.4579,15.77383
2005-04-20,,15.28188,15.59422
2005-04-21,,15.18316,15.49348
2005-04-22,,15.16374,15.47366
2005-04-25,,14.95448,15.26012
2005-04-26,,15.00402,15.31067
2005-04-27,,14.82225,15.12519
2005-04-28,,15.16004,15.46988
2005-04-29,,15.00845,15.31519
2005-05-09,,14.82644,15.12946
2005-05-10,,14.94413,15.24956
2005-05-11,,14.73449,15.03564
2005-05-12,,14.4166,14.71125
2005-05-13,,14.43774,14.73282
2005-05-16,,14.23843,14.52944
2005-05-17,,14.24928,14.54051
2005-05-18,,14.25678,14.54816
2005-05-19,,14.25418,14.54551
2005-05-20,,14.19883,14.48903
2005-05-23,,13.85013,14.1332
2005-05-24,,13.82764,14.11025
2005-05-25,,13.81289,14.0952
2005-05-26,,13.63868,13.91743
2005-05-27,,13.53046,13.807
2005-05-30,,13.63747,13.91619
2005-05-31,,13.6499,13.92888
2005-06-01,,13.35363,13.62656
2005-06-02,,13.0411,13.30763
2005-06-03,,13.00181,13.26755
2005-06-06,,13.30877,13.58078
2005-06-07,,13.22885,13.49923
2005-06-08,,14.32889,14.62174
2005-06-09,,14.52612,14.823
2005-06-10,,14.19905,14.48925
2005-06-13,,14.16438,14.45387
2005-06-14,,14.0502,14.33736
2005-06-15,,13.79758,14.07957
2005-06-16,,13.96448,14.24989
2005-06-17,,13.9084,14.19266
2005-06-20,,14.21614,14.50669
2005-06-21,,14.1371,14.42603
2005-06-22,,14.11441,14.40288
2005-06-23,,14.04298,14.32999
2005-06-24,,14.1637,14.45318
2005-06-27,,14.43188,14.72684
2005-06-28,,14.22146,14.51212
2005-06-29,,14.13359,14.42245
2005-06-30,,13.68183,14.07949
2005-07-01,,13.16084,13.5744
2005-07-04,,13.10956,13.52151
2005-07-05,,12.98756,13.39567
2005-07-06,,12.89386,13.29903
2005-07-07,,12.95304,13.36006
2005-07-08,,12.74719,13.14775
2005-07-11,,12.70758,13.1069
2005-07-12,,13.13115,13.54377
2005-07-13,,13.03507,13.44467
2005-07-14,,13.08554,13.49673
2005-07-15,,12.96387,13.37123
2005-07-18,,12.8532,13.25709
2005-07-19,,12.85195,13.2558
2005-07-20,,12.94827,13.35515
2005-07-21,,12.96774,13.37523
2005-07-22,,13.28577,13.70325
2005-07-25,,13.25847,13.67509
2005-07-26,,13.6214,14.04943
2005-07-27,,13.79,14.22332
2005-07-28,,13.82266,14.25702
2005-07-29,,13.75893,14.19128
2005-08-01,,13.82084,14.25514
2005-08-02,,14.01207,14.45237
2005-08-03,,14.05827,14.50002
2005-08-04,,13.99469,14.43445
2005-08-05,,14.27,14.71841
2005-08-08,,14.39304,14.84532
2005-08-09,,14.53271,14.98937
2005-08-10,,14.67367,15.13477
2005-08-11,,14.93406,15.40334
2005-08-12,,14.66562,15.12646
2005-08-15,,14.87108,15.33837
2005-08-16,,14.68423,15.14566
2005-08-17,,14.79795,15.26295
2005-08-18,,14.22405,14.67102
2005-08-19,,14.27261,14.7211
2005-08-22,,14.31797,14.76789
2005-08-23,,14.23594,14.68328
2005-08-24,,14.42539,14.87868
2005-08-25,,14.4223,14.8755
2005-08-26,,14.39807,14.8505
2005-08-29,,14.16027,14.60523
2005-08-30,,14.07922,14.52163
2005-08-31,,14.24931,14.69707
2005-09-01,,14.50228,14.95799
2005-09-02,,14.52953,14.98609
2005-09-05,,14.55781,15.01527
2005-09-06,,14.32741,14.77763
2005-09-07,,14.53851,14.99535
2005-09-08,,14.55038,15.0076
2005-09-09,,14.50396,14.95972
2005-09-12,,14.46203,14.91647
2005-09-13,,14.66517,15.126
2005-09-14,,14.77768,15.24205
2005-09-15,,14.75349,15.21709
2005-09-16,,14.68957,15.15117
2005-09-19,,14.7295,15.19235
2005-09-20,,14.60087,15.05968
2005-09-21,,14.28415,14.73301
2005-09-22,,13.993,14.43271
2005-09-23,,13.93199,14.36978
2005-09-26,,13.95228,14.39071
2005-09-27,,13.69422,14.12454
2005-09-28,,13.68626,14.11632
2005-09-29,,13.94509,14.38329
2005-09-30,,14.40257,14.4079
2005-10-10,,14.22825,14.23352
2005-10-11,,14.41914,14.42448
2005-10-12,,14.4403,14.44564
2005-10-13,,14.2995,14.3048
2005-10-14,,14.12445,14.12967
2005-10-17,,13.96208,13.96725
2005-10-18,,14.03004,14.03523
2005-10-19,,13.96154,13.96671
2005-10-20,,13.99818,14.00336
2005-10-21,,14.05632,14.06152
2005-10-24,,14.00078,14.00597
2005-10-25,,13.76407,13.76917
2005-10-26,,13.47034,13.47533
2005-10-27,,13.52045,13.52545
2005-10-28,,13.33623,13.34117
2005-10-31,,13.50961,13.51461
2005-11-01,,13.50268,13.50768
2005-11-02,,13.64092,13.64597
2005-11-03,,13.5495,13.55452
2005-11-04,,13.58314,13.58817
2005-11-07,,13.53898,13.54399
2005-11-08,,13.62966,13.6347
2005-11-09,,13.62116,13.6262
2005-11-10,,13.41545,13.42042
2005-11-11,,13.43021,13.43518
2005-11-14,,13.34778,13.35272
2005-11-15,,13.3651,13.37004
2005-11-16,,13.47261,13.4776
2005-11-17,,13.46867,13.47366
2005-11-18,,13.72804,13.73312
2005-11-21,,13.71119,13.71626
2005-11-22,,13.45883,13.46381
2005-11-23,,13.53814,13.54316
2005-11-24,,13.62646,13.6315
2005-11-25,,13.64279,13.64784
2005-11-28,,13.59058,13.59561
2005-11-29,,13.44923,13.45421
2005-11-30,,13.45382,13.4588
2005-12-01,,13.45088,13.45586
2005-12-02,,13.43172,13.43669
2005-12-05,,13.30985,13.31477
2005-12-06,,13.44576,13.45073
2005-12-07,,13.59765,13.60269
2005-12-08,,13.60574,13.61077
2005-12-09,,13.7733,13.7784
2005-12-12,,13.78947,13.79457
2005-12-13,,13.82555,13.83067
2005-12-14,,13.91695,13.9221
2005-12-15,,13.91035,13.9155
2005-12-16,,13.94903,13.9542
2005-12-19,,14.00705,14.01223
2005-12-20,,14.05331,14.05851
2005-12-21,,13.98672,13.9919
2005-12-22,,14.04798,14.05318
2005-12-23,,14.14522,14.15046
2005-12-26,,14.29272,14.29802
2005-12-27,,14.22605,14.23132
2005-12-28,,14.25562,14.2609
2005-12-29,,14.42508,14.43042
2005-12-30,,14.28533,14.29062
2006-01-04,12.00803,14.47388,14.47388
2006-01-05,12.18937,14.71453,14.71453
2006-01-06,12.23053,14.82693,14.82693
2006-01-09,12.28846,14.87139,14.87139
2006-01-10,12.35002,14.93086,14.93086
2006-01-11,12.23441,14.78817,14.78817
2006-01-12,12.37689,14.94449,14.94449
2006-01-13,12.28245,14.83485,14.83485
2006-01-16,12.11307,14.6235,14.6235
2006-01-17,12.22765,14.72322,14.72322
2006-01-18,12.46242,15.0109,15.0109
2006-01-19,12.59548,15.20312,15.20312
2006-01-20,12.58953,15.24645,15.24645
2006-01-23,12.58521,15.22668,15.22668
2006-01-24,12.62214,15.22913,15.22913
2006-01-25,12.71765,15.34965,15.34965
2006-02-06,12.8324,15.72534,15.72534
2006-02-07,12.78389,15.65399,15.65399
2006-02-08,12.82588,15.73526,15.73526
