| Date                |   Adj Close |   Years |   High |   Low |   Return |   MaxDrawdown |   CAGR |
|:--------------------|------------:|--------:|-------:|------:|---------:|--------------:|-------:|
| 2012-12-31 00:00:00 |        2.71 |   11.16 |   5.81 |  2.08 |    43    |        -64.15 |   3.26 |
| 2013-12-31 00:00:00 |        2.53 |   10.49 |   5.81 |  2.08 |    53.44 |        -64.15 |   4.17 |
| 2014-12-31 00:00:00 |        2.37 |    9.5  |   5.81 |  2.08 |    63.94 |        -64.15 |   5.34 |
| 2015-12-31 00:00:00 |        3.69 |    8.49 |   5.81 |  2.85 |     5.26 |        -50.94 |   0.61 |
| 2016-12-31 00:00:00 |        3.54 |    7.49 |   5.81 |  2.85 |     9.82 |        -50.94 |   1.26 |
| 2017-12-31 00:00:00 |        3.4  |    6.49 |   5.81 |  3.02 |    14.31 |        -48.05 |   2.08 |
| 2018-12-31 00:00:00 |        4.14 |    5.49 |   5.81 |  3.02 |    -6.14 |        -48.05 |  -1.15 |
| 2019-12-31 00:00:00 |        3.02 |    4.49 |   5.81 |  3.02 |    28.67 |        -48.05 |   5.77 |
| 2020-12-31 00:00:00 |        4.15 |    3.49 |   5.81 |  3.53 |    -6.44 |        -39.28 |  -1.89 |
| 2021-12-31 00:00:00 |        5.33 |    2.48 |   5.81 |  3.57 |   -27.22 |        -38.61 | -12    |
| 2022-12-31 00:00:00 |        4.99 |    1.48 |   4.99 |  3.57 |   -22.2  |        -28.56 | -15.56 |
| 2023-12-31 00:00:00 |        3.95 |    0.49 |   4.2  |  3.8  |    -1.7  |         -9.73 |  -3.45 |
