date,cn_2y,cn_10y,us_2y,us_10y
2002-01-04,2.6563,3.2096,3.19,5.18
2002-01-07,2.6697,3.2003,3.08,5.09
2002-01-08,2.1578,3.5225,3.07,5.1
2002-01-09,2.1627,3.5896,3.03,5.1
2002-01-10,2.1559,3.5784,2.94,5.0
2002-01-11,2.1096,3.4532,2.76,4.92
2002-01-14,1.9562,3.5114,2.79,4.91
2002-01-15,1.9937,3.5023,2.79,4.88
2002-01-16,1.9938,3.4414,2.84,4.88
2002-01-17,1.9763,3.4511,2.96,4.98
2002-01-18,2.4434,3.2968,2.91,4.94
2002-01-21,2.429,3.2563,2.91,4.94
2002-01-22,2.4531,3.3182,2.97,4.96
2002-01-23,2.5089,3.1897,3.07,5.05
2002-01-24,2.4092,3.2581,3.15,5.07
2002-01-25,2.4824,3.0795,3.17,5.1
2002-01-28,2.4546,3.1584,3.19,5.12
2002-01-29,2.1719,3.81,3.05,5.02
2002-01-30,2.4178,3.2152,3.06,5.02
2002-01-31,2.4307,3.2186,3.16,5.07
2002-02-01,2.3604,3.2016,3.08,5.02
2002-02-04,2.3615,3.218,2.99,4.94
2002-02-05,2.326,3.1893,2.99,4.92
2002-02-06,2.3832,3.1897,2.98,4.92
2002-02-07,2.3342,3.2491,2.99,4.93
2002-02-08,2.3256,3.2085,2.95,4.9
2002-02-09,2.3337,3.1948,2.95,4.9
2002-02-10,2.3555,3.2084,2.95,4.9
2002-02-11,2.383,3.2173,2.95,4.91
2002-02-12,2.383,3.2173,3.04,4.97
2002-02-13,2.383,3.2173,3.09,5.01
2002-02-14,2.383,3.2173,3.07,4.95
2002-02-15,2.383,3.2173,2.97,4.86
2002-02-19,2.3611,3.1679,2.98,4.88
2002-02-20,2.2773,3.1647,3.0,4.88
2002-02-21,2.3446,3.1583,3.0,4.88
2002-02-22,2.3544,3.2237,2.97,4.84
2002-02-25,2.2399,3.1616,3.01,4.86
2002-02-26,2.2136,3.1512,3.08,4.93
2002-02-27,2.21,3.1481,3.09,4.84
2002-02-28,2.2004,3.1315,3.06,4.88
2002-03-01,2.2167,3.1155,3.18,4.98
2002-03-04,2.2648,3.0828,3.24,5.02
2002-03-05,2.2082,3.085,3.25,5.02
2002-03-06,2.0945,3.0864,3.26,5.06
2002-03-07,2.0814,3.084,3.36,5.22
2002-03-08,2.0587,3.0656,3.6,5.33
2002-03-11,2.0888,3.073,3.59,5.33
2002-03-12,2.0618,3.0044,3.56,5.32
2002-03-13,2.0749,2.9872,3.49,5.28
2002-03-14,2.0596,2.9798,3.63,5.4
2002-03-15,2.098,3.0188,3.63,5.35
2002-03-18,2.2199,3.0232,3.67,5.32
2002-03-19,2.2221,2.9442,3.64,5.33
2002-03-20,2.2469,3.0009,3.71,5.4
2002-03-21,2.064,2.9508,3.73,5.39
2002-03-22,2.054,2.9468,3.77,5.4
2002-03-25,1.9926,2.9166,3.78,5.41
