Date,Rate
2013-06-13,3.234
2013-06-14,3.484
2013-06-16,3.981
2013-06-17,4.338
2013-06-18,4.676
2013-06-19,4.968
2013-06-20,5.096
2013-06-21,5.222
2013-06-23,5.419
2013-06-24,5.467
2013-06-25,5.658
2013-06-26,5.86
2013-06-27,5.991
2013-06-28,6.084
2013-06-30,6.299
2013-07-01,6.307
2013-07-02,6.174
2013-07-03,6.034
2013-07-04,5.903
2013-07-05,5.739
2013-07-07,5.425
2013-07-08,5.279
2013-07-09,5.15
2013-07-10,5.047
2013-07-11,4.959
2013-07-12,4.884
2013-07-14,4.745
2013-07-15,4.682
2013-07-16,4.634
2013-07-17,4.582
2013-07-18,4.543
2013-07-19,4.518
2013-07-21,4.471
2013-07-22,4.447
2013-07-23,4.426
2013-07-24,4.424
2013-07-25,4.411
2013-07-26,4.397
2013-07-28,4.371
2013-07-29,4.369
2013-07-30,4.377
2013-07-31,4.392
2013-08-01,4.413
2013-08-02,4.437
2013-08-04,4.483
2013-08-05,4.503
2013-08-06,4.507
2013-08-07,4.509
2013-08-08,4.516
2013-08-09,4.513
2013-08-11,4.511
2013-08-12,4.511
2013-08-13,4.517
2013-08-14,4.521
2013-08-15,4.523
2013-08-16,4.524
2013-08-18,4.526
2013-08-19,4.532
2013-08-20,4.54
2013-08-21,4.545
2013-08-22,4.546
2013-08-23,4.548
2013-08-25,4.554
2013-08-26,4.546
2013-08-27,4.538
2013-08-28,4.528
2013-08-29,4.583
2013-08-30,4.686
2013-09-01,4.685
2013-09-02,4.829
2013-09-03,4.84
2013-09-04,4.852
2013-09-05,4.807
2013-09-06,4.859
2013-09-08,4.88
2013-09-09,4.876
2013-09-10,4.979
2013-09-11,4.989
2013-09-12,5.001
2013-09-13,4.932
2013-09-15,4.956
2013-09-16,4.942
2013-09-17,4.848
2013-09-18,4.894
2013-09-22,4.822
2013-09-23,4.724
2013-09-24,4.767
2013-09-25,4.796
2013-09-26,4.897
2013-09-27,4.963
2013-09-29,5.026
2013-09-30,5.07
2013-10-07,4.919
2013-10-08,5.006
2013-10-09,4.992
2013-10-10,4.987
2013-10-11,4.985
2013-10-13,4.978
2013-10-14,4.96
2013-10-15,4.889
2013-10-16,4.899
2013-10-17,4.889
2013-10-18,4.878
2013-10-20,4.854
2013-10-21,4.888
2013-10-22,4.846
2013-10-23,4.825
2013-10-24,4.819
2013-10-25,4.811
2013-10-27,4.797
2013-10-28,4.743
2013-10-29,4.754
2013-10-30,4.763
2013-10-31,4.772
2013-11-01,4.781
2013-11-03,4.8
2013-11-04,4.825
2013-11-05,4.828
2013-11-06,4.829
2013-11-07,4.827
2013-11-08,4.827
2013-11-10,4.825
2013-11-11,4.938
2013-11-12,5.028
2013-11-13,5.093
2013-11-14,5.112
2013-11-15,5.212
2013-11-17,5.235
2013-11-18,5.139
2013-11-19,5.073
2013-11-20,5.033
2013-11-21,5.041
2013-11-22,4.973
2013-11-24,5.013
2013-11-25,5.035
2013-11-26,5.057
2013-11-27,5.079
2013-11-28,5.102
2013-11-29,5.123
2013-12-01,5.168
2013-12-02,5.182
2013-12-03,5.194
2013-12-04,5.207
2013-12-05,5.216
2013-12-06,5.214
2013-12-08,5.207
2013-12-09,5.226
2013-12-10,5.241
2013-12-11,5.253
2013-12-12,5.288
2013-12-13,5.325
2013-12-15,5.4
2013-12-16,5.43
2013-12-17,5.444
2013-12-18,5.463
2013-12-19,5.491
2013-12-20,5.524
2013-12-22,5.592
2013-12-23,5.67
2013-12-24,5.757
2013-12-25,5.893
2013-12-26,6.032
2013-12-27,6.192
2013-12-29,6.5
2013-12-30,6.598
2013-12-31,6.696
2014-01-01,6.74
2014-01-02,6.763
2014-01-03,6.753
2014-01-05,6.738
2014-01-06,6.726
2014-01-07,6.738
2014-01-08,6.761
2014-01-09,6.737
2014-01-10,6.738
2014-01-12,6.703
2014-01-13,6.695
2014-01-14,6.67
2014-01-15,6.618
2014-01-16,6.595
2014-01-17,6.554
2014-01-19,6.48
2014-01-20,6.46
2014-01-21,6.423
2014-01-22,6.398
2014-01-23,6.413
2014-01-24,6.422
2014-01-26,6.434
2014-01-27,6.416
2014-01-28,6.441
2014-01-29,6.432
2014-01-30,6.36
2014-02-06,6.044
2014-02-07,6.096
2014-02-09,6.174
2014-02-10,6.225
2014-02-11,6.263
2014-02-12,6.298
2014-02-13,6.334
2014-02-14,6.311
2014-02-16,6.286
2014-02-17,6.259
2014-02-18,6.241
2014-02-19,6.22
2014-02-20,6.201
2014-02-21,6.183
2014-02-23,6.147
2014-02-24,6.136
2014-02-25,6.114
2014-02-26,6.093
2014-02-27,6.062
2014-02-28,6.031
2014-03-02,5.971
2014-03-03,5.928
2014-03-04,5.895
2014-03-05,5.864
2014-03-06,5.835
2014-03-07,5.805
2014-03-09,5.744
2014-03-10,5.716
2014-03-11,5.69
2014-03-12,5.668
2014-03-13,5.647
2014-03-14,5.628
2014-03-16,5.592
2014-03-17,5.568
2014-03-18,5.555
2014-03-19,5.544
2014-03-20,5.538
2014-03-21,5.535
2014-03-23,5.516
2014-03-24,5.511
2014-03-25,5.496
2014-03-26,5.472
2014-03-27,5.445
2014-03-28,5.415
2014-03-30,5.374
2014-03-31,5.361
2014-04-01,5.356
2014-04-02,5.357
2014-04-03,5.362
2014-04-04,5.367
2014-04-07,5.373
2014-04-08,5.368
2014-04-09,5.36
2014-04-10,5.351
2014-04-11,5.339
2014-04-13,5.315
2014-04-14,5.3
2014-04-15,5.287
2014-04-16,5.272
2014-04-17,5.253
2014-04-18,5.239
2014-04-20,5.21
2014-04-21,5.2
2014-04-22,5.188
2014-04-23,5.171
2014-04-24,5.152
2014-04-25,5.13
2014-04-27,5.087
2014-04-28,5.067
2014-04-29,5.048
2014-04-30,5.04
2014-05-04,5.029
2014-05-05,5.022
2014-05-06,5.042
2014-05-07,5.036
2014-05-08,5.028
2014-05-09,5.022
2014-05-11,4.985
2014-05-12,4.969
2014-05-13,4.924
2014-05-14,4.902
2014-05-15,4.888
2014-05-16,4.874
2014-05-18,4.842
2014-05-19,4.853
2014-05-20,4.868
2014-05-21,4.882
2014-05-22,4.877
2014-05-23,4.867
2014-05-25,4.831
2014-05-26,4.788
2014-05-27,4.746
2014-05-28,4.712
2014-05-29,4.684
2014-05-30,4.683
2014-06-02,4.66
2014-06-03,4.656
2014-06-04,4.657
2014-06-05,4.681
2014-06-06,4.664
2014-06-08,4.675
2014-06-09,4.698
2014-06-10,4.706
2014-06-11,4.712
2014-06-12,4.702
2014-06-13,4.719
2014-06-15,4.742
2014-06-16,4.734
2014-06-17,4.724
2014-06-18,4.697
2014-06-19,4.66
2014-06-20,4.634
2014-06-22,4.535
2014-06-23,4.494
2014-06-24,4.463
2014-06-25,4.416
2014-06-26,4.375
2014-06-27,4.324
2014-06-29,4.267
2014-06-30,4.235
2014-07-01,4.221
2014-07-02,4.221
2014-07-03,4.23
2014-07-04,4.22
2014-07-06,4.216
2014-07-07,4.215
2014-07-08,4.191
2014-07-09,4.18
2014-07-10,4.178
2014-07-11,4.177
2014-07-13,4.169
2014-07-14,4.172
2014-07-15,4.181
2014-07-16,4.192
2014-07-17,4.183
2014-07-18,4.184
2014-07-20,4.184
2014-07-21,4.192
2014-07-22,4.182
2014-07-23,4.176
2014-07-24,4.181
2014-07-25,4.182
2014-07-27,4.192
2014-07-28,4.184
2014-07-29,4.183
2014-07-30,4.178
2014-07-31,4.174
2014-08-01,4.171
2014-08-03,4.166
2014-08-04,4.176
2014-08-05,4.178
2014-08-06,4.178
2014-08-07,4.18
2014-08-08,4.192
2014-08-10,4.191
2014-08-11,4.179
2014-08-12,4.176
2014-08-13,4.175
2014-08-14,4.185
2014-08-15,4.17
2014-08-17,4.165
2014-08-18,4.159
2014-08-19,4.163
2014-08-20,4.169
2014-08-21,4.158
2014-08-22,4.153
2014-08-24,4.139
2014-08-25,4.139
2014-08-26,4.131
2014-08-27,4.123
2014-08-28,4.116
2014-08-29,4.123
2014-08-31,4.146
2014-09-01,4.15
2014-09-02,4.149
2014-09-03,4.153
2014-09-04,4.164
2014-09-05,4.166
2014-09-08,4.143
2014-09-09,4.155
2014-09-10,4.154
2014-09-11,4.158
2014-09-12,4.15
2014-09-14,4.148
2014-09-15,4.151
2014-09-16,4.154
2014-09-17,4.151
2014-09-18,4.166
2014-09-19,4.166
2014-09-21,4.166
2014-09-22,4.166
2014-09-23,4.181
2014-09-24,4.183
2014-09-25,4.18
2014-09-26,4.218
2014-09-28,4.23
2014-09-29,4.224
2014-09-30,4.2
2014-10-07,4.089
2014-10-08,4.097
2014-10-09,4.102
2014-10-10,4.108
2014-10-12,4.125
2014-10-13,4.168
2014-10-14,4.188
2014-10-15,4.189
2014-10-16,4.202
2014-10-17,4.201
2014-10-19,4.185
2014-10-20,4.155
2014-10-21,4.151
2014-10-22,4.14
2014-10-23,4.145
2014-10-24,4.139
2014-10-26,4.126
2014-10-27,4.116
2014-10-28,4.145
2014-10-29,4.149
2014-10-30,4.119
2014-10-31,4.112
2014-11-02,4.105
2014-11-03,4.098
2014-11-04,4.056
2014-11-05,4.056
2014-11-06,4.057
2014-11-07,4.066
2014-11-09,4.07
2014-11-10,4.074
2014-11-11,4.103
2014-11-12,4.199
2014-11-13,4.256
2014-11-14,4.248
2014-11-16,4.238
2014-11-17,4.243
2014-11-18,4.225
2014-11-19,4.118
2014-11-20,4.068
2014-11-21,4.078
2014-11-23,4.077
2014-11-24,4.072
2014-11-25,4.047
2014-11-26,4.045
2014-11-27,4.034
2014-11-28,4.055
2014-11-30,4.059
2014-12-01,4.068
2014-12-02,4.09
2014-12-03,4.089
2014-12-04,4.099
2014-12-05,4.072
2014-12-07,4.061
2014-12-08,4.037
2014-12-09,4.011
2014-12-10,4.036
2014-12-11,4.029
2014-12-12,4.025
2014-12-14,4.037
2014-12-15,4.057
2014-12-16,4.087
2014-12-17,4.083
2014-12-18,4.127
2014-12-19,4.225
2014-12-21,4.419
2014-12-22,4.518
2014-12-23,4.633
2014-12-24,4.76
2014-12-25,4.849
2014-12-26,4.851
2014-12-28,4.852
2014-12-29,4.845
2014-12-30,4.791
2014-12-31,4.724
2015-01-04,4.603
2015-01-05,4.576
2015-01-06,4.564
2015-01-07,4.551
2015-01-08,4.531
2015-01-09,4.505
2015-01-11,4.451
2015-01-12,4.499
2015-01-13,4.481
2015-01-14,4.475
2015-01-15,4.465
2015-01-16,4.483
2015-01-18,4.47
2015-01-19,4.396
2015-01-20,4.398
2015-01-21,4.383
2015-01-22,4.386
2015-01-23,4.371
2015-01-25,4.373
2015-01-26,4.37
2015-01-27,4.356
2015-01-28,4.369
2015-01-29,4.361
2015-01-30,4.351
2015-02-01,4.348
2015-02-02,4.342
2015-02-03,4.342
2015-02-04,4.329
2015-02-05,4.326
2015-02-06,4.319
2015-02-08,4.306
2015-02-09,4.314
2015-02-10,4.322
2015-02-11,4.348
2015-02-12,4.375
2015-02-13,4.421
2015-02-15,4.481
2015-02-16,4.494
2015-02-17,4.513
2015-02-24,4.405
2015-02-25,4.445
2015-02-26,4.454
2015-02-27,4.469
2015-03-01,4.477
2015-03-02,4.48
2015-03-03,4.486
2015-03-04,4.456
2015-03-05,4.45
2015-03-06,4.453
2015-03-08,4.454
2015-03-09,4.46
2015-03-10,4.481
2015-03-11,4.483
2015-03-12,4.489
2015-03-13,4.48
2015-03-15,4.482
2015-03-16,4.521
2015-03-17,4.502
2015-03-18,4.525
2015-03-19,4.538
2015-03-20,4.542
2015-03-22,4.54
2015-03-23,4.522
2015-03-24,4.519
2015-03-25,4.522
2015-03-26,4.503
2015-03-27,4.499
2015-03-29,4.499
2015-03-30,4.487
2015-03-31,4.493
2015-04-01,4.458
2015-04-02,4.457
2015-04-03,4.45
2015-04-06,4.428
2015-04-07,4.433
2015-04-08,4.433
2015-04-09,4.452
2015-04-10,4.468
2015-04-12,4.466
2015-04-13,4.502
2015-04-14,4.492
2015-04-15,4.491
2015-04-16,4.481
2015-04-17,4.462
2015-04-19,4.462
2015-04-20,4.449
2015-04-21,4.441
2015-04-22,4.436
2015-04-23,4.411
2015-04-24,4.388
2015-04-26,4.344
2015-04-27,4.311
2015-04-28,4.299
2015-04-29,4.288
2015-04-30,4.275
2015-05-03,4.266
2015-05-04,4.253
2015-05-05,4.241
2015-05-06,4.236
2015-05-07,4.241
2015-05-08,4.253
2015-05-10,4.26
2015-05-11,4.273
2015-05-12,4.284
2015-05-13,4.288
2015-05-14,4.296
2015-05-15,4.279
2015-05-17,4.252
2015-05-18,4.238
2015-05-19,4.239
2015-05-20,4.229
2015-05-21,4.202
2015-05-22,4.204
2015-05-24,4.185
2015-05-25,4.166
2015-05-26,4.132
2015-05-27,4.1
2015-05-28,4.08
2015-05-29,4.047
2015-05-31,4.02
2015-06-01,4.013
2015-06-02,4.013
2015-06-03,4.016
2015-06-04,4.024
2015-06-05,4.033
2015-06-07,4.047
2015-06-08,4.044
2015-06-09,4.046
2015-06-10,4.045
2015-06-11,4.043
2015-06-12,4.034
2015-06-14,4.018
2015-06-15,4.006
2015-06-16,3.98
2015-06-17,3.946
2015-06-18,3.898
2015-06-19,3.853
2015-06-22,3.714
2015-06-23,3.673
2015-06-24,3.641
2015-06-25,3.626
2015-06-26,3.595
2015-06-28,3.541
2015-06-29,3.51
2015-06-30,3.483
2015-07-01,3.461
2015-07-02,3.435
2015-07-03,3.426
2015-07-05,3.406
2015-07-06,3.405
2015-07-07,3.409
2015-07-08,3.415
2015-07-09,3.42
2015-07-10,3.42
2015-07-12,3.421
2015-07-13,3.431
2015-07-14,3.469
2015-07-15,3.467
2015-07-16,3.462
2015-07-17,3.456
2015-07-19,3.444
2015-07-20,3.435
2015-07-21,3.381
2015-07-22,3.365
2015-07-23,3.352
2015-07-24,3.359
2015-07-26,3.339
2015-07-27,3.333
2015-07-28,3.323
2015-07-29,3.318
2015-07-30,3.307
2015-07-31,3.282
2015-08-02,3.263
2015-08-03,3.236
2015-08-04,3.235
2015-08-05,3.238
2015-08-06,3.237
2015-08-07,3.232
2015-08-09,3.224
2015-08-10,3.238
2015-08-11,3.249
2015-08-12,3.24
2015-08-13,3.241
2015-08-14,3.248
2015-08-16,3.248
2015-08-17,3.274
2015-08-18,3.256
2015-08-19,3.253
2015-08-20,3.246
2015-08-21,3.237
2015-08-23,3.23
2015-08-24,3.208
2015-08-25,3.248
2015-08-26,3.26
2015-08-27,3.262
2015-08-28,3.259
2015-08-30,3.254
2015-08-31,3.238
2015-09-01,3.192
2015-09-02,3.177
2015-09-06,3.258
2015-09-07,3.249
2015-09-08,3.261
2015-09-09,3.273
2015-09-10,3.284
2015-09-11,3.301
2015-09-13,3.217
2015-09-14,3.246
2015-09-15,3.232
2015-09-16,3.212
2015-09-17,3.214
2015-09-18,3.192
2015-09-20,3.18
2015-09-21,3.162
2015-09-22,3.162
2015-09-23,3.147
2015-09-24,3.117
2015-09-25,3.108
2015-09-27,3.067
2015-09-28,3.046
2015-09-29,3.017
2015-09-30,2.999
2015-10-07,2.958
2015-10-08,3.133
2015-10-09,3.128
2015-10-11,3.17
2015-10-12,3.171
2015-10-13,3.171
2015-10-14,3.187
2015-10-15,3.011
2015-10-16,3.018
2015-10-18,2.977
2015-10-19,3.028
2015-10-20,3.029
2015-10-21,3.025
2015-10-22,3.021
2015-10-23,3.024
2015-10-25,3.011
2015-10-26,2.957
2015-10-27,2.944
2015-10-28,2.929
2015-10-29,2.93
2015-10-30,2.909
2015-11-01,2.887
2015-11-02,2.879
2015-11-03,2.899
2015-11-04,2.895
2015-11-05,2.881
2015-11-06,2.887
2015-11-08,2.883
2015-11-09,2.899
2015-11-10,2.915
2015-11-11,2.894
2015-11-12,2.886
2015-11-13,2.871
2015-11-15,2.849
2015-11-16,2.828
2015-11-17,2.79
2015-11-18,2.805
2015-11-19,2.825
2015-11-20,2.822
2015-11-22,2.816
2015-11-23,2.813
2015-11-24,2.798
2015-11-25,2.778
2015-11-26,2.756
2015-11-27,2.756
2015-11-29,2.755
2015-11-30,2.738
2015-12-01,2.733
2015-12-02,2.76
2015-12-03,2.76
2015-12-04,2.756
2015-12-06,2.755
2015-12-07,2.779
2015-12-08,2.781
2015-12-09,2.759
2015-12-10,2.753
2015-12-11,2.754
2015-12-13,2.756
2015-12-14,2.805
2015-12-15,2.805
2015-12-16,2.8
2015-12-17,2.802
2015-12-18,2.798
2015-12-20,2.793
2015-12-21,2.726
2015-12-22,2.72
2015-12-23,2.714
2015-12-24,2.707
2015-12-25,2.705
2015-12-27,2.702
2015-12-28,2.699
2015-12-29,2.715
2015-12-30,2.713
2015-12-31,2.703
2016-01-03,2.688
2016-01-04,2.676
2016-01-05,2.664
2016-01-06,2.668
2016-01-07,2.681
2016-01-08,2.689
2016-01-10,2.685
2016-01-11,2.697
2016-01-12,2.697
2016-01-13,2.696
2016-01-14,2.713
2016-01-15,2.699
2016-01-17,2.703
2016-01-18,2.733
2016-01-19,2.724
2016-01-20,2.711
2016-01-21,2.679
2016-01-22,2.701
2016-01-24,2.692
2016-01-25,2.668
2016-01-26,2.673
2016-01-27,2.686
2016-01-28,2.688
2016-01-29,2.668
2016-01-31,2.672
2016-02-01,2.662
2016-02-02,2.663
2016-02-03,2.66
2016-02-04,2.659
2016-02-05,2.636
2016-02-14,2.687
2016-02-15,2.705
2016-02-16,2.695
2016-02-17,2.685
2016-02-18,2.673
2016-02-19,2.66
2016-02-21,2.599
2016-02-22,2.579
2016-02-23,2.58
2016-02-24,2.577
2016-02-25,2.578
2016-02-26,2.575
2016-02-28,2.574
2016-02-29,2.566
2016-03-01,2.56
2016-03-02,2.56
2016-03-03,2.555
2016-03-04,2.562
2016-03-06,2.556
2016-03-07,2.561
2016-03-08,2.566
2016-03-09,2.574
2016-03-10,2.576
2016-03-11,2.569
2016-03-13,2.569
2016-03-14,2.559
2016-03-15,2.55
2016-03-16,2.546
2016-03-17,2.542
2016-03-18,2.546
2016-03-20,2.544
2016-03-21,2.546
2016-03-22,2.543
2016-03-23,2.544
2016-03-24,2.544
2016-03-25,2.54
2016-03-27,2.53
2016-03-28,2.522
2016-03-29,2.518
2016-03-30,2.504
2016-03-31,2.5
2016-04-01,2.479
2016-04-04,2.473
2016-04-05,2.489
2016-04-06,2.487
2016-04-07,2.489
2016-04-08,2.51
2016-04-10,2.504
2016-04-11,2.51
2016-04-12,2.497
2016-04-13,2.495
